Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1920,7.52688172,8.024691358,6.668160096,9.856630824,23.86102917,55.66009558,35.3433642,13.78434886,9.259259259,6.690561529,5.488351254,4.787808642
1921,4.902180406,16.31944444,17.75686977,10.29719235,7.907243527,9.091248507,8.699845679,6.022252091,5.038580247,4.013590203,3.856780167,3.487654321
1922,3.490890084,5.343364198,6.025985663,95.09408602,306.1127499,115.6586022,21.67824074,9.509408602,6.701388889,5.521953405,4.775238949,4.012345679
1923,3.087664277,2.731481481,8.747759857,10.00597372,7.09193707,36.72715054,31.57407407,9.655017921,6.624228395,5.103793309,4.823775388,4.710648148
1924,5.05525687,10.88734568,14.3182497,38.10483871,49.94673877,227.7703106,140.1080247,21.875,11.43518519,7.844235364,6.320937873,6.06867284
1925,5.31660693,5.104166667,4.599761051,7.078853047,11.95509669,11.56287336,8.479938272,5.697431302,4.664351852,4.846176822,4.659498208,3.892746914
1926,2.822580645,2.773919753,3.128733572,6.432945042,8.464437889,5.734767025,5.462962963,4.510155317,3.796296296,3.319145759,3.005525687,2.56558642
1927,6.20146356,5.69058642,4.409348865,30.26060335,21.85349066,7.672491039,6.94058642,6.115591398,5.096450617,4.274940263,3.886648746,3.30632716
1928,2.803912784,3.757716049,4.715501792,8.9979092,18.76024254,29.9432497,22.77777778,9.7520908,6.832561728,5.760902031,5.00672043,4.313271605
1929,3.946385902,5.239197531,11.89516129,13.739546,13.16781383,21.6733871,20.27391975,12.61200717,7.912808642,6.485215054,5.395011947,4.726080247
1930,3.573028674,3.572530864,59.59528076,37.29091995,14.59357588,13.20191159,13.66512346,10.31586022,7.133487654,6.981780167,6.190262843,5.015432099
1931,3.909050179,5.447530864,6.186529271,7.396206691,9.455916093,9.184587814,8.973765432,7.579151732,6.350308642,4.834976105,3.897849462,3.217592593
1932,2.639635603,2.272376543,6.093189964,46.79286141,33.0670272,9.024044205,6.882716049,5.208333333,4.290123457,3.513291517,3.009259259,2.5
1933,1.960125448,17.1566358,15.47565711,40.89755078,35.06637168,17.08482676,14.03935185,9.938769415,7.31095679,5.95504779,5.017921147,4.320987654
1934,3.823178017,8.344907407,15.30017921,12.76508363,10.11143887,7.414874552,5.844907407,5.417413381,4.930555556,4.032258065,3.315412186,2.835648148
1935,2.35588411,1.81712963,1.851851852,4.849910394,20.31710914,18.58572282,10.9837963,7.986111111,6.543209877,5.551821983,4.790173238,4.737654321
1936,4.45041816,10.00771605,13.74701314,24.52956989,198.5045887,91.84961171,17.7662037,7.877837515,6.18441358,5.129928315,4.603494624,4.390432099
1937,3.733572282,3.074845679,8.04958184,18.18249701,16.01933792,7.586618877,23.28703704,18.04808841,8.402777778,5.876642772,4.764038232,4.926697531
1938,8.486409797,8.510802469,72.98760454,70.2994325,136.2995739,86.44713262,24.58719136,10.00970729,8.140432099,8.295997611,7.605286738,7.457561728
1939,6.328405018,22.34953704,25.46669654,14.31451613,10.90626024,16.53972521,15.35493827,9.516875747,8.449074074,7.048984468,5.738500597,5.659722222
1940,4.946983274,5.543981481,14.79241338,12.6082736,8.669288758,6.022252091,7.403549383,6.660692951,4.988425926,3.733572282,3.136200717,2.608024691
1941,2.292413381,2.391975309,12.80615293,8.781362007,6.706817437,29.30480884,20.93364198,7.933841099,6.300154321,5.223267622,4.633363202,5.12345679
1942,5.036589008,6.080246914,10.83482676,11.1671147,7.952310718,11.45833333,25.3279321,18.40277778,9.305555556,7.399940263,7.847968937,7.299382716
1943,5.286738351,5.169753086,4.752837515,7.306600956,38.70042609,27.3708184,12.1720679,6.384408602,5.68287037,4.868578256,4.002389486,3.310185185
1944,4.330943847,4.490740741,3.677568698,7.907706093,19.03474271,22.72625448,15.6095679,8.318399044,5.779320988,4.640830346,3.901583035,3.206018519
1945,3.38635006,3.603395062,3.554360812,60.99537037,59.98443133,20.81466547,13.28703704,7.388739546,5.960648148,4.846176822,4.054659498,3.325617284
1946,2.654569892,2.619598765,2.423088411,3.07646356,12.11078335,13.33258662,7.735339506,6.111857826,4.861111111,3.927718041,3.229540024,2.766203704
1947,2.609767025,5.077160494,13.69474313,12.86589008,11.55358899,90.73700717,60.87191358,10.87962963,6.890432099,5.473416965,4.648297491,3.99691358
1948,4.543757467,5.44367284,5.058990442,25.45176225,21.60766962,10.62948029,7.881944444,6.365740741,6.018518519,5.096326165,4.159199522,3.564814815
1949,2.86364994,3.410493827,10.09184588,9.949970131,15.06473287,16.81227599,15.3742284,11.93249701,8.468364198,6.306003584,5.339008363,4.544753086
1950,3.431152927,3.510802469,22.26702509,20.96774194,7.784333006,6.436678614,7.901234568,8.486409797,7.87037037,5.570489845,4.737903226,4.525462963
1951,4.913381123,4.575617284,3.576762246,3.737305854,5.50229433,5.424880526,5.046296296,4.330943847,3.888888889,3.655167264,3.274342891,2.654320988
1952,2.240143369,3.31404321,10.22625448,18.70519713,91.18731563,40.56152927,15.93364198,10.3046595,7.125771605,6.022252091,5.305406213,4.575617284
1953,3.767174432,6.319444444,10.92816607,23.9359319,27.13454605,16.19250299,13.17515432,10.27105735,6.975308642,5.443548387,4.980585424,4.398148148
1954,4.289874552,8.842592593,12.76508363,40.55406213,98.66437234,60.43160096,21.5316358,13.34005376,8.93904321,7.556750299,6.152927121,5.127314815
1955,4.894713262,8.730709877,16.49865591,15.34498208,149.6681416,96.02374552,22.91280864,9.63635006,7.611882716,6.261200717,5.275537634,5.389660494
1956,4.696833931,4.274691358,5.309139785,6.701762246,13.73729925,13.27658303,11.79783951,8.322132616,6.601080247,6.406810036,6.179062127,5.439814815
1957,6.134259259,6.952160494,7.01911589,228.5916965,118.395608,14.85961768,8.506944444,6.492682198,5.462962963,4.484020311,3.737305854,4.097222222
1958,4.174133811,4.537037037,19.73566308,33.14665472,19.9770567,11.83915771,7.627314815,5.596624851,4.807098765,4.207735962,3.629032258,3.113425926
1959,2.900985663,9.135802469,16.19997013,11.01403823,28.21615864,16.26344086,10.20447531,7.579151732,6.481481481,5.256869773,4.304808841,3.838734568
1960,3.139934289,10.80246914,53.02792712,35.73402031,30.06801049,26.03046595,20.30092593,13.42219235,8.703703704,7.463410992,6.556152927,5.883487654
1961,4.790173238,4.378858025,4.618428913,6.362007168,7.640937398,5.708632019,5.972222222,5.395011947,4.471450617,3.363948626,2.770310633,2.287808642
1962,1.71744325,5.331790123,11.62634409,12.41412784,7.79252704,5.096326165,5.570987654,5.454749104,5.891203704,5.402479092,4.413082437,3.452932099
1963,2.889784946,3.236882716,3.819444444,7.022849462,8.980662078,5.451015532,4.382716049,3.692502987,3.117283951,2.512694146,2.098267622,1.782407407
1964,2.449223417,3.653549383,36.54047192,34.19578853,16.52327106,9.102449223,6.755401235,5.469683393,4.699074074,3.86051374,3.300477897,3.152006173
1965,2.594832736,3.082561728,3.233273596,14.30704898,21.7920354,13.47446237,7.067901235,4.551224612,3.942901235,3.270609319,2.83004779,2.654320988
1966,2.893518519,3.356481481,5.036589008,15.83781362,94.31333989,36.93623059,20.23148148,15.56526284,8.37962963,6.29853644,5.275537634,4.347993827
1967,3.774641577,5.513117284,5.869175627,4.857377539,5.129465749,5.227001195,5.644290123,5.469683393,5.212191358,4.181600956,3.434886499,2.793209877
1968,2.30734767,4.540895062,13.765681,16.03942652,12.54916421,46.42323775,26.70138889,9.132317802,6.612654321,5.465949821,4.625896057,4.077932099
1969,5.521953405,6.253858025,8.079450418,7.228195938,7.01409374,5.619026284,4.448302469,3.76344086,3.422067901,3.035394265,2.598566308,2.191358025
1970,2.0609319,2.44212963,5.891577061,18.20863202,17.79334644,7.500746714,7.847222222,7.351403823,5.810185185,4.334677419,3.535692951,3.05941358
1971,3.882915173,7.067901235,7.795698925,99.96639785,120.2597509,87.0146356,40.94135802,11.42846476,8.406635802,6.328405018,5.387544803,4.610339506
1972,4.513888889,5.393518519,5.133661888,5.073924731,6.194690265,6.16786141,7.12962963,6.253733572,4.938271605,4.151732378,3.617831541,6.06095679
1973,7.228195938,9.155092593,17.85020908,58.76642772,133.8700426,67.93234767,19.01234568,10.10304659,7.384259259,6.451612903,5.716099164,6.172839506
1974,5.30167264,7.507716049,9.890232975,22.90919952,54.69927892,41.39411589,14.78009259,9.106182796,7.696759259,6.063321386,5.100059737,4.363425926
1975,3.479689367,3.074845679,25.62350657,57.489546,71.04228122,63.39979092,38.53395062,12.5672043,10.63271605,7.515681004,5.98864994,4.953703704
1976,4.274940263,7.148919753,7.661290323,29.22640382,49.86070141,45.28076464,35.16203704,13.79554958,8.163580247,6.130525687,5.178464755,5.516975309
1977,4.95818399,4.899691358,11.24551971,66.00955795,72.20583415,37.91442652,24.97685185,9.475806452,6.74382716,5.495818399,4.670698925,4.101080247
1978,3.587962963,6.296296296,7.321535245,8.277329749,9.533759423,7.851702509,7.916666667,6.533751493,5.300925926,4.170400239,4.823775388,4.618055556
1979,4.786439665,6.095679012,9.240591398,17.9958184,110.0581776,49.56317204,12.19521605,7.146057348,5.929783951,4.857377539,4.413082437,5.027006173
1980,4.991786141,15.95679012,17.46191756,122.1550179,106.1987873,42.36857826,16.18441358,8.781362007,6.990740741,5.633960573,5.156063321,4.764660494
1981,4.357078853,5.833333333,6.731630824,6.884707288,6.518354638,4.648297491,4.799382716,4.920848268,4.371141975,3.509557945,2.949522103,2.546296296
1982,2.497759857,2.916666667,3.614097969,3.785842294,3.466076696,3.737305854,3.908179012,3.04286141,2.665895062,2.266278375,2.296146953,2.079475309
1983,2.232676225,4.992283951,4.797640382,4.062126643,3.994591937,6.104390681,7.114197531,5.671296296,4.320987654,5.421146953,5.820639188,4.756944444
1984,6.571087216,9.43287037,7.892771804,10.56227599,23.70943953,18.02568698,9.656635802,6.783900836,6.712962963,5.697431302,4.734169654,4.62962963
1985,4.939516129,4.375,4.730436081,5.469683393,7.735168797,6.776433692,18.76929012,17.16323178,8.607253086,5.518219833,4.722968937,4.085648148
1986,3.793309438,5.027006173,7.310334528,7.773297491,15.50311373,15.75194146,8.765432099,5.794504182,5.146604938,4.140531661,3.793309438,4.471450617
1987,4.330943847,4.668209877,21.02001195,15.12096774,62.98344805,63.12724014,29.08564815,10.17398447,8.028549383,7.381272401,6.137992832,5.663580247
1988,7.340203106,7.314814815,6.283602151,6.272401434,10.30809571,9.946236559,7.322530864,5.518219833,5.127314815,4.435483871,3.770908005,3.094135802
1989,3.192204301,11.61651235,12.66427718,14.73267622,16.32251721,13.17951016,9.24382716,6.817502987,5.536265432,4.614695341,3.965053763,3.244598765
1990,3.225806452,4.618055556,9.778225806,26.47849462,24.17240249,25.11200717,21.49305556,8.964307049,7.017746914,5.921445639,4.883512545,4.263117284
1991,3.427419355,3.688271605,3.614097969,3.251941458,3.121927237,3.274342891,3.368055556,2.594832736,2.133487654,1.795848268,1.583034648,1.385030864
1992,1.224611708,1.331018519,12.55600358,8.064516129,4.486234022,5.417413381,5.733024691,4.245071685,3.479938272,3.035394265,2.744175627,2.492283951
1993,2.195340502,5.374228395,9.66995221,8.172789725,7.329564077,6.630824373,6.296296296,4.820041816,3.865740741,3.095131422,2.710573477,2.322530864
