"Variable","param","y_1981","y_1982","y_1983","y_1984","y_1985","y_1986","y_1987","y_1988","y_1989","y_1990","y_1991","y_1992","y_1993","y_1994","y_1995","y_1996","y_1997","y_1998","y_1999","y_2000","y_2001","y_2002","y_2003","y_2004","y_2005","y_2006","y_2007","y_2008","y_2009"
"river_flow_1","both",225829999.990656,3349999.9987776,350000.000352,79999.9993152,24070000.0008672,639999.9998784,2029999.9993632,12379999.999824,749999.9996064,10329999.9992928,17590000.0000896,100000.0004832,7989999.9992352,3379999.9991904,109999.999728,43879999.991328,55300000.002048,10819999.9997856,76380000.001056,73859999.987808,2059999.999776,23769999.9994176,160000.0013088,100000.0004832,1690000.0009344,93829999.995648,4680000.0001152,15819999.99984,7650000.0008064
"river_flow_2","both",214286725.666944,892035.3972096,148672.5674112,69380.5319424,27851327.425152,1040707.9646208,6303716.8137216,56396460.169728,4935929.2036992,7750796.4592128,16185486.7246464,99115.0449408,79292.0354688,1318230.087552,3746548.6716672,313233274.368,53641061.937792,9713274.3364608,50915398.238208,1271923539.74784,51747964.61184,5837876.1068544,148672.5674112,18534513.2732928,89203.5389952,113070442.472064,465840.7068672,8365309.7334912,28307256.630912
"river_flow_3","both",79499999.995776,200000.0009664,140000.0001408,1590000.0004512,11940000.000912,100000.0004832,4310000.0012736,58959999.988128,2839999.9997952,5679999.9995904,43799999.986656,90000.0012384,950000.0005728,49999.9989024,3180000.0009024,241289999.996256,93240000.008064,2279999.999232,48680000.003808,1687379999.96448,36310000.011264,2940000.0002784,149999.9993856,67049999.99856,90000.0012384,86389999.989696,100000.0004832,4180000.0003776,24460000.0008768
"river_flow_4","both",22179999.99888,189999.999648,130000.000032,880000.000416,2050000.000704,9830000.001024,630000.001152,34800000.01056,100000.000224,5810000.000832,21309999.999264,89999.999424,70000.000416,49999.998816,2349999.998784,16720000.000128,48779999.98848,920000.001024,27040000.01184,562969999.872,9549999.99936,1679999.999616,140000.000832,34709999.9904,89999.999424,24660000.000288,100000.000224,2419999.9992,5930000.000064
"river_flow_5","both",10100000.000592,660000.0010464,119999.9989728,60000.0008256,2279999.999232,8089999.9997184,100000.0004832,7410000.0001824,100000.0004832,2769999.9997248,4430000.0002464,90000.0012384,70000.0000704,49999.9989024,1090000.0007136,16370000.0011584,9210000.0008448,130000.000896,10649999.999232,23710000.0012704,4820000.000256,210000.0002112,140000.0001408,5049999.9989568,90000.0012384,7499999.9987424,100000.0004832,109999.999728,1480000.0007232
"river_flow_6","both",5360000.00112,179999.998848,119999.999232,59999.999616,1040000.000256,1319999.999328,89999.999424,7520000.000256,100000.000224,100000.000224,2690000.000064,80000.001216,59999.999616,49999.998816,49999.998816,10419999.998976,4329999.999072,130000.000032,6030000.000288,16219999.999008,2739999.99888,200000.000448,130000.000032,1419999.999552,89999.999424,3589999.999488,100000.000224,100000.000224,300000.000672
"river_flow_7","both",6599999.9997504,179999.9997984,109999.999728,359999.9995968,79999.9993152,109999.999728,90000.0012384,6650000.0013312,100000.0004832,100000.0004832,100000.0004832,79999.9993152,60000.0008256,49999.9989024,49999.9989024,13780000.001232,5939999.998704,959999.9998176,9100000.0011168,12249999.998928,5179999.9998528,2029999.9993632,130000.000896,100000.0004832,90000.0012384,4950000.001152,100000.0004832,100000.0004832,79999.9993152
"river_flow_8","both",200000.0009664,179999.9997984,100000.0004832,60000.0008256,90000.0012384,109999.999728,90000.0012384,100000.0004832,100000.0004832,100000.0004832,100000.0004832,79999.9993152,60000.0008256,49999.9989024,49999.9989024,2459999.9990304,140000.0001408,119999.9989728,90000.0012384,219999.999456,210000.0002112,189999.9990432,119999.9989728,100000.0004832,90000.0012384,109999.999728,100000.0004832,100000.0004832,79999.9993152
"river_flow_9","both",200000.000448,170000.00064,100000.000224,49999.998816,89999.999424,110000.001024,89999.999424,100000.000224,100000.000224,100000.000224,100000.000224,80000.001216,59999.999616,49999.998816,49999.998816,130000.000032,140000.000832,110000.001024,89999.999424,219999.999456,210000.001248,179999.998848,119999.999232,100000.000224,80000.001216,110000.001024,100000.000224,100000.000224,70000.000416
"river_flow_10","both",200000.0009664,170000.0005536,90000.0012384,359999.9995968,90000.0012384,109999.999728,79999.9993152,2389999.99896,100000.0004832,90000.0012384,100000.0004832,70000.0000704,49999.9989024,49999.9989024,49999.9989024,130000.000896,140000.0001408,109999.999728,90000.0012384,780000.0000192,210000.0002112,170000.0005536,109999.999728,90000.0012384,79999.9993152,109999.999728,100000.0004832,90000.0012384,70000.0000704
"river_flow_11","both",1059999.999264,159999.99984,80000.001216,3109999.999968,89999.999424,110000.001024,80000.001216,100000.000224,7509999.999456,89999.999424,100000.000224,70000.000416,49999.998816,49999.998816,59999.999616,130000.000032,379999.999296,100000.000224,89999.999424,219999.999456,24540000.001056,170000.00064,110000.001024,89999.999424,80000.001216,110000.001024,3890000.00016,89999.999424,1649999.999808
"river_flow_12","both",2760000.00048,160000.0013088,79999.9993152,1800000.0006624,100000.0004832,3180000.0009024,17470000.0011168,140000.0001408,12020000.0002272,3650000.0002272,100000.0004832,14969999.9997504,2979999.999936,49999.9989024,6830000.0011296,2800000.0001376,1209999.9996864,23549999.9999616,7519999.9999104,4129999.9987968,53919999.988416,160000.0013088,109999.999728,969999.9990624,79999.9993152,8500000.000896,20560000.0007808,5700000.0007584,4670000.0008704
"ET0_1","both",174.380885215855,210.621859657974,237.536944280304,223.428990251518,193.300983085912,194.714906904059,193.096594822562,208.792930590399,223.72695498334,206.287499094238,212.427064129397,232.987932827994,196.931431331767,193.81450022333,206.915011445507,189.185787437061,188.395300584934,197.488444239567,183.08279043712,180.882661185828,236.090747541834,238.160694237004,247.178639824787,210.153041146834,210.694715441809,167.856983438896,218.841770127952,177.190855230139,178.836470274579
